unit_id,unit_title,lesson_id,lesson_title,lesson_activity,lesson_activity_name,lesson_notes,lesson_video_id,lesson_objectives
1,Introduction: What Scribbler Can Do,1,Overview,,,,,Our Setup:<ul><li>For this guide&#44; we're using a Scribbler 2 robot with the Fluke2 add-on.</li><li>You can do a quick online search to find where to buy them&#44; but we got them both from <a target="_blank" href="https://www.betterbots.com">https://www.betterbots.com</a>.</li><li>Almost everything you can do with the robot can also be done on the free Scribbler simulator that's built-in with Calico.</li></ul>Introduction:<ul><li>We think that the Scribbler robot is a great tool to use to start learning computer science because it is pre-built&#44; can provide instant feedback when programming&#44; and has many sensors and capabilities to take advantage of.</li><li>To give you a quick idea of what you can do with the robot&#44; the following two sections (1.2 and 1.3) have cool sample programs to showcase Scribbler's capabilities.</li><li>Later in the course you will run these two programs (and more) on your own Scribbler robot.</ul><br>The Scribbler robot with the Fluke2 add-on:<img alt="Shell and Script" src="/assets/img/scribbler_and_fluke.jpg" align="center" />
1,Introduction: What Scribbler Can Do,2,Flashlight Path,,,,rSJo2QCyXWo,"This program uses Scribbler's light and IR sensors to program a path to drive.<ul><li>To program a path, you shine a flashlight in the left, right, or center light sensors to tell it to turn left, right, or move forward, respectively.</li><li>Scribbler remembers the sequence you make with the flashlight, and begins its journey when you wave it goodbye in front of the fluke's IR sensor.</li><li>You'll run this on your own robot in Unit 3: Sample Programs.</li></ul>"
1,Introduction: What Scribbler Can Do,3,360 GIF,,,,hOixu_V50Cs,"The Scribbler spins in a circle, using the Fluke's camera to take pictures<ul><li>As it takes pictures, it flashes the front LED and beeps</li><li>When it finishes its circle, it saves the pictures as a gif titled 'scribbler_360'</li><li>You'll run this on your own robot in Unit 3: Sample Programs</li></ul>"
2,Installing Calico and Connecting via Bluetooth,1,Overview,,,,,"In this Unit you will download and install the Calico IDE<ul><li>An IDE is an Integrated Development Environment, which makes running and debugging programs easy.</li><li>Please select the proper guide to the left based on your computer's operating system.</li></ul>"<br>The Calico IDE (shown on a Mac):<img alt="Shell and Script" src="/assets/img/calico_ide.png" align="center" />
2,Installing Calico and Connecting via Bluetooth,2,Mac Guide,,,/assets/pdf/ScribblerCalicoMacGuide.pdf,VnilrHD2dZw,"<ul><li>In this section you will download Calico, move the proper frameworks to your Library, and connect to your robot via bluetooth.</li><li>Click the Text Version button on the right for the guide.</li></ul>"
2,Installing Calico and Connecting via Bluetooth,3,Windows Guide,,,/assets/pdf/ScribblerCalicoWindowsGuide.pdf,TEHO7hI8KRc,"<ul><li>In this section you will download and extract Calico, and connect to your robot via bluetooth.</li><li>Click the Text Version button on the right for the guide.</li></ul>"
3,The Shell,1,Overview,,,,,"In this section you will start giving your robot commands through the shell in Calico<ul><li>There are two ways to give your robot commands: through the shell and with a script. This unit is all about the shell</li><li>With the shell, you can give your robot commands one-by-one and see what they do ― this is very useful because you receive instant feedback</li><li>The shell is in the red region in the picture below. To get to the shell&#44; click the <i>Shell</i> tab in the upper-left region of Calico."</ul><br><img alt="Shell and Script" src="/assets/img/shell_and_script.png" align="center" /></li><br><br><li>While working through the rest of the course and experimenting on your own&#44; it would be very useful to have the Calico Myro Reference (<a target="_blank" href="http://calicoproject.org/Calico_Myro">http://calicoproject.org/Calico_Myro</a>) open in another window. It lists every function you can use (using the search button in your browser will be useful).</li>
3,The Shell,2,Name Your Robot,,,,9INgAYXAaJw,"This Program Will Help You:<ul><li>Start and become familiar with Calico and the shell</li><li>Learn some basic Python syntax</li><li>Connect to your robot and name him/her!</li></ul><br>New Functions Used (words after the # sign are comments (that you don't type!) to help you understand the functions/ideas):<ul><li><font color=&#34;#09933&#34;>from Myro import *</font> #The first command in EVERY program with Scribbler. It imports the Myro library and let you use functions like setName shown below</li><li><font color=&#34;#09933&#34;>init()</font> #This function connects to your robot. It is the second command in EVERY program. It opens a window where you enter the port you found in Unit 2 (it is likely &#34;com3&#34; for Windows or something like &#34;/dev/tty.Fluke2-0216-Fluke2&#34; for Macs). If you want to avoid typing this every time, you can copy and paste your path into the init() function&#44; so init(&#34;com3&#34;) or init(&#34;/dev/tty.Fluke2-0216-Fluke2&#34;)</li><li><font color=&#34;#09933&#34;>setName(&#34;name&#34;)</font> #You put the name you want for your robot in quotation marks. This name is remembered on your Scribbler and is displayed every time you run a program.</li><li><font color=&#34;#09933&#34;>getName()</font> #This returns the robot's name (so Shy Guy in this case)</li><li><font color=&#34;#09933&#34;>print(&#34;The text I want to print&#34;)</font> #This Python function prints text to the output window. Notice below how we can use print(getName()) below because getName() returns text</li></ul><br>As shown in the video&#44; please enter each command below line by line in the shell (but&#44; change the robot's name to whatever you want!). It's best if you don't copy and paste.<br><ul>from Myro import *<br>init()<br>setName(&#34;Shy Guy&#34;)<br>print(getName())</ul>"
3,The Shell,3,Joystick,,,,f70IXT1DXWg,"This Program Will Help You:<ul><li>Drive your Scribbler around with a virtual joystick</li></ul><br>New Functions Used:<ul><li><font color=&#34;#09933&#34;>joystick()</font> #Opens up a window with a virtual joystick so you can drive the robot around. Later we'll combine this with other commands</li></ul><br>As shown in the video&#44; please enter each command below line by line in the shell:<ul>from Myro import *<br>init()<br>joystick()</ul>"
3,The Shell,4,Draw a Diamond,,,,ZnNetQ16m8Y,"This Program Will Help You:<ul><li>Draw straight lines with your Scribbler</li><li>Have your Scribbler turn left or right</li><li>Start thinking computationally ― how a series of commands can lead to drawing shapes with your robot!</li></ul><br>New Functions Used:<ul><li><font color=&#34;#09933&#34;>turnRight(amount&#44;seconds)</font> #Turn the Scribbler to the right for a given speed (amount) and time (seconds)</li><li><font color=&#34;#09933&#34;>forward(amount&#44;seconds)</font> #Move forward at a given speed (amount) for a given time (seconds)</li><li><font color=&#34;#09933&#34;>turnLeft(amount&#44; seconds)</font> #Turn left at a given speed (amount) for a given time (seconds)</li></ul><br> As shown in the video&#44; please enter each command below line by line in the shell:<ul>from Myro import *<br>init()<br>turnRight(1,.2)<br>forward(1,1)<br>turnLeft(1,.4)<br>forward(1,1)<br>turnLeft(1,1.13)<br>forward(1,1)<br>turnLeft(1,.4)<br>forward(1,1)</ul>"
